Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
13/06/2023,"14,893","10,108",390,"17,550","4,643",66
22/03/2020,"1,893","2,252",0,"3,890",0,0
02/09/2020,"12,087","6,195",174,"12,014","5,165",55
21/03/2020,"2,670","3,272",0,"5,531",0,0
17/11/2019,"2,914","4,519",0,"6,777",0,0
12/11/2023,"2,788","4,381",0,"6,498",0,24
13/05/2021,"16,541","9,724",311,"18,003","5,426",108
06/10/2019,"2,992","5,583",0,"7,530",0,0
21/11/2023,"15,993","10,937",357,"18,900","4,914",92
10/04/2024,"17,754","11,095",413,"19,694","5,391",88
11/04/2022,"9,488","7,256",253,"12,413",0,40
14/10/2022,"14,044","9,443",185,"16,075","4,122",109
04/03/2024,"18,405","11,455",393,"20,885","5,932",88
07/01/2022,"5,292","4,167",51,"6,005",0,38
21/01/2021,"10,496","5,460",236,"13,303",0,45
07/03/2022,"13,340","7,215",191,"13,970","5,386",47
03/12/2019,"17,741","11,575",486,"23,387","5,010",1
06/12/2023,"15,000","10,888",365,"18,112","2,584",63
27/02/2024,"19,318","12,323",377,"22,592","6,007",126
18/12/2021,"2,820","4,036",0,"5,516",0,17
18/05/2024,"4,792","6,039",0,"8,107",0,15
09/02/2024,"17,712","11,308",257,"19,452","6,174",100
07/04/2020,"2,951","1,519",47,"3,497",33,1
26/10/2021,"7,511","3,291",77,"6,912","2,041",61
18/07/2023,"15,884","10,685",367,"18,317","4,883",95
26/08/2022,"13,561","9,302",177,"15,288","4,191",53
30/06/2020,"8,961","5,466",151,"11,014","3,555",7
19/01/2022,"6,419","4,160",81,"7,608",0,39
20/11/2021,"2,440","3,756",0,"4,993",0,26
14/12/2022,"12,828","9,451",277,"15,889",679,70
23/08/2019,"18,614","12,644",384,"25,079","5,224",0
11/07/2023,"11,689","9,680",309,"16,250",0,49
30/12/2023,"3,580","4,356",0,"6,425",0,18
27/08/2022,"3,181","5,651",0,"7,180",0,8
06/12/2022,"14,281","9,948",269,"16,941","2,811",42
29/12/2021,"4,248","2,987",12,"4,744",0,31
04/08/2024,"2,670","4,615",0,"6,727",0,13
27/04/2020,947,892,0,"1,569",0,0
25/11/2021,"10,397","6,065",134,"11,144","4,115",38
03/11/2021,"10,321","5,114",122,"9,626","4,910",51
03/08/2019,"5,447","7,090",0,"7,922",0,0
26/03/2020,"4,003","2,449",133,"5,846",108,0
11/03/2021,"16,764","9,151",280,"17,836","5,839",99
21/09/2022,"14,071","9,746",221,"15,947","4,199",50
26/05/2021,"16,451","9,619",347,"17,927","5,171",65
28/10/2019,"17,730","11,484",436,"24,233","5,704",0
23/09/2021,"2,369",989,24,"2,407",0,23
10/03/2023,"16,384","11,381",238,"20,144","4,708",72
24/06/2022,"12,099","7,798",177,"13,846","2,940",57
14/02/2022,"12,202","6,435",143,"11,899","5,591",59
20/05/2024,"17,048","10,892",350,"18,756","5,162",66
12/05/2023,"15,799","11,026",256,"18,641","4,859",83
08/08/2024,"16,928","11,291",304,"20,763","5,036",101
28/10/2021,"7,872","3,510",78,"7,119","2,116",63
27/08/2023,"2,718","4,322",0,"6,499",0,51
26/12/2020,"1,910","3,759",0,"4,918",0,21
18/09/2020,"12,513","6,712",161,"12,778","4,808",46
02/10/2022,"2,252","4,891",0,"6,560",0,15
19/02/2021,"15,799","9,347",215,"16,832","5,684",43
29/03/2020,706,889,0,"1,468",0,2
20/12/2023,"10,974","7,946",265,"14,248",0,58
28/06/2024,"14,974","9,894",232,"17,648","3,816",65
04/08/2020,"11,694","5,756",167,"11,698","5,384",42
27/09/2020,"1,810","2,725",0,"4,055",0,27
20/07/2020,"10,779","5,642",160,"10,635","4,314",65
17/12/2022,"3,708","5,759",0,"7,436",0,33
03/10/2019,"15,089","12,660",426,"24,221",0,1
18/04/2023,"12,530","10,259",378,"18,402",0,71
11/07/2021,"1,966","3,213",0,"4,514",0,11
15/07/2019,"12,743","9,704",370,"19,481",0,2
10/03/2020,"20,171","12,442",493,"27,226","6,571",35
27/09/2021,"2,431","1,046",20,"2,326",0,27
20/09/2019,"20,009","14,789",403,"27,732","5,099",0
26/10/2020,"11,342","5,503",239,"11,623","4,938",37
06/12/2020,"2,094","3,260",0,"4,717",0,15
14/08/2020,"11,722","6,337",157,"11,965","4,892",49
23/11/2022,"14,492","9,646",266,"16,659","3,916",176
13/08/2023,"2,448","4,337",0,"5,949",0,23
29/10/2021,"8,319","4,023",71,"8,072","2,024",42
03/03/2021,"16,892","9,733",320,"18,152","5,769",85
21/01/2024,"2,618","4,153",0,"5,880",0,18
18/01/2020,"3,186","5,064",0,"7,001",0,0
20/10/2020,"13,325","6,968",273,"13,565","5,488",47
04/03/2023,"4,103","6,483",0,"9,145",13,22
18/03/2024,"18,155","11,450",392,"20,665","5,971",123
05/03/2020,"18,722","11,596",445,"25,349","5,945",76
10/09/2019,"18,814","11,527",498,"24,134","5,922",0
28/08/2023,"15,475","10,479",371,"18,701","4,730",70
06/02/2024,"18,520","11,127",379,"20,624","6,550",77
02/11/2019,"3,898","6,625",0,"9,358",0,3
19/10/2019,"3,857","6,066",0,"8,963",0,0
30/09/2020,"8,962","5,841",190,"10,557",0,30
27/08/2024,"17,301","11,173",351,"20,921","5,004",65
11/04/2021,"2,086","3,431",0,"4,734",0,22
07/12/2021,"11,101","7,148",214,"12,939","3,347",42
22/09/2019,"4,126","5,234",0,"7,066",0,0
31/10/2020,"2,453","2,544",0,"4,521",0,14
09/03/2022,"13,929","8,144",209,"15,109","5,254",63
27/06/2023,"13,366","9,859",357,"17,289","2,837",71
03/01/2022,"1,633","2,026",0,"3,206",0,18
10/06/2024,"2,506","4,139",0,"6,115",0,15
30/04/2022,"2,947","4,949",0,"6,182",0,17
24/09/2023,"2,693","5,301",0,"7,276",0,31
16/12/2023,"4,165","6,135",0,"8,411",0,14
31/10/2022,"12,206","7,602",223,"13,638","3,631",39
17/12/2019,"15,744","10,793",420,"21,636","1,162",0
30/01/2020,"14,100","10,587",362,"21,046",0,0
11/08/2022,"13,507","8,622",196,"15,511","4,108",71
19/09/2020,"2,534","4,020",0,"5,720",0,19
12/11/2022,"3,516","5,607",0,"7,747",0,22
30/10/2023,"15,786","9,942",302,"17,728","5,207",59
16/10/2021,"1,353","1,671",0,"2,504",0,12
27/03/2020,"3,998","2,298",106,"5,544",97,1
02/07/2020,"8,635","5,435",137,"10,678","3,290",3
23/05/2022,"12,914","8,289",216,"14,440","4,420",42
09/04/2022,"3,084","4,630",0,"6,502",0,30
02/09/2019,"18,055","10,993",417,"23,455","5,830",0
14/07/2023,"11,554","9,883",225,"15,609",0,67
21/08/2019,"19,447","12,102",472,"26,048","5,656",0
19/01/2024,"11,979","9,532",259,"15,004",0,76
09/03/2021,"16,823","9,430",340,"17,491","5,870",93
20/08/2024,"17,315","11,245",356,"20,639","4,842",73
16/09/2024,"15,520","10,326",317,"18,804","4,726",66
01/11/2022,"13,821","8,648",209,"15,268","4,045",59
08/10/2019,"13,860","10,799",417,"22,073",0,0
09/07/2019,"13,835","10,550",455,"19,862",0,1
21/03/2023,"17,106","11,542",373,"20,971","5,703",72
07/10/2022,"9,081","7,982",176,"12,660",0,52
13/02/2020,"20,387","11,609",499,"26,610","6,766",1
04/07/2021,"1,856","2,895",0,"4,146",0,35
23/09/2019,"18,224","11,833",469,"24,440","5,626",0
21/02/2022,"12,663","6,651",143,"12,389","5,514",50
28/12/2020,"2,091","3,086",0,"4,440",0,17
07/10/2021,"2,691","1,217",20,"2,926",0,27
02/05/2022,"13,602","8,231",262,"15,038","4,737",65
08/11/2023,"16,467","11,024",362,"19,855","4,996",76
11/10/2022,"14,689","9,787",245,"17,261","4,652",78
06/05/2023,"3,845","6,139",0,"8,120",0,20
15/10/2022,"3,635","5,750",0,"8,070",0,11
19/06/2023,"13,656","9,160",348,"16,289","4,443",71
28/03/2023,"16,337","10,720",385,"20,215","5,432",69
10/02/2021,"16,511","9,238",315,"17,184","6,441",74
01/12/2019,"2,713","4,356",0,"6,532",0,3
16/07/2019,"14,025","10,434",421,"20,592",0,0
04/10/2021,730,660,0,"1,393",0,12
06/05/2021,"16,818","9,674",315,"17,926","5,465",90
20/03/2022,"2,006","3,196",0,"4,803",0,7
24/11/2019,"2,913","4,271",0,"6,681",0,4
19/04/2021,"15,767","8,983",333,"16,782","3,577",51
25/10/2020,"1,865","2,403",0,"3,787",0,9
19/12/2023,"11,172","8,393",285,"14,440",0,55
25/02/2024,"2,958","5,864",0,"7,136",0,9
06/07/2020,"6,629","5,009",137,"9,443",0,3
25/02/2022,"12,510","6,966",134,"12,570","5,326",69
26/04/2022,"14,074","8,797",238,"15,608","2,913",63
14/10/2021,"2,589","1,082",24,"2,718",0,23
30/05/2023,"15,801","10,513",376,"18,686","4,865",63
06/09/2023,"16,283","10,969",407,"20,143","4,696",81
14/11/2020,"2,876","4,782",0,"6,061",0,18
10/02/2023,"16,131","11,455",255,"18,920","5,366",118
22/07/2022,"12,742","8,300",162,"14,332","4,422",65
23/11/2023,"15,893","10,650",317,"18,928","4,526",77
18/11/2020,"13,637","8,032",266,"14,649","4,795",63
02/01/2023,"2,239","2,842",0,"4,541",0,16
15/10/2019,"19,198","12,750",456,"25,968","6,037",1
10/09/2022,"3,258","5,942",0,"7,065",0,23
14/09/2019,"5,306","7,540",0,"8,618",4,0
29/05/2020,"7,908","3,986",89,"8,407","3,767",1
17/11/2021,"11,074","6,058",153,"11,305","4,574",42
05/12/2023,"15,170","10,810",362,"18,459","3,042",66
10/11/2020,"13,657","7,540",230,"14,231","4,841",59
22/05/2023,"15,536","10,275",386,"18,284","4,902",61
30/04/2021,"16,507","9,949",246,"17,759","5,540",69
15/09/2021,"2,344",913,21,"2,280",0,21
10/03/2024,"3,088","5,647",0,"7,775",0,18
23/06/2021,"14,881","9,455",314,"16,610","4,174",70
30/10/2020,"13,472","6,242",186,"13,757","4,943",53
16/01/2021,"2,705","2,715",0,"5,439",0,29
25/06/2020,"9,583","5,703",121,"10,705","4,585",4
06/03/2023,"16,371","11,064",366,"19,576","5,550",101
10/11/2022,"15,156","9,612",246,"16,799","4,229",91
27/01/2023,"10,366","7,877",154,"13,248",0,54
28/11/2023,"14,519","9,879",343,"17,483","4,296",65
08/06/2024,"4,825","6,848",0,"8,536",0,19
26/03/2024,"18,587","12,238",426,"21,575","5,442",96
26/02/2022,"2,856","5,034",0,"5,933",0,17
27/07/2019,"5,383","6,522",0,"8,231",0,1
17/07/2024,"12,194","9,821",365,"16,383",0,73
23/04/2021,"16,420","9,626",267,"16,969","5,811",75
13/07/2022,"9,529","7,873",226,"12,933",0,48
08/01/2024,"9,753","7,324",248,"12,716",0,59
01/01/2024,"1,481","2,740",0,"3,308",0,6
27/04/2022,"14,299","8,797",252,"15,723","5,160",92
26/10/2019,"3,731","6,849",0,"8,449",0,102
17/05/2022,"13,979","9,047",284,"15,836","4,485",56
09/09/2024,"16,056","9,812",344,"17,921","4,797",84
01/07/2024,"14,040","9,241",319,"16,658","3,016",56
16/06/2022,"12,723","8,434",238,"14,196","4,010",42
15/08/2024,"17,446","11,231",321,"20,844","4,524",91
29/05/2022,"2,049","3,591",0,"4,969",0,16
21/06/2021,"14,587","8,914",304,"16,243","4,295",53
06/11/2023,"15,943","10,252",336,"18,670","5,186",61
23/03/2023,"15,800","10,808",345,"19,233","5,413",100
15/09/2022,"13,245","8,425",173,"15,225","4,270",56
27/10/2020,"13,366","6,594",249,"13,389","5,398",40
17/03/2023,"16,931","11,798",294,"19,999","5,299",105
11/01/2022,"5,879","3,545",75,"6,608",0,27
24/02/2022,"13,206","7,039",138,"13,205","5,581",140
25/07/2024,"17,242","10,997",312,"19,596","5,499",85
02/08/2022,"14,063","8,847",241,"15,540","4,633",72
04/02/2024,"2,783","4,296",0,"6,135",0,22
17/08/2020,"11,744","5,628",183,"11,068","5,306",39
19/06/2022,"1,973","3,308",0,"5,036",0,19
09/09/2019,"17,892","10,847",458,"22,891","5,813",0
07/03/2020,"3,971","6,162",0,"9,552",0,0
03/01/2023,"8,061","5,998",100,"10,227",0,45
23/04/2023,"2,498","6,572",0,"6,513",0,14
27/02/2021,"3,369","5,149",0,"6,554",0,24
28/02/2021,"2,148","3,430",0,"4,932",0,24
20/10/2021,"5,259","2,318",58,"5,027",0,41
20/12/2019,"13,149","10,032",259,"18,341",44,0
16/09/2020,"12,778","6,549",195,"12,682","5,075",49
20/09/2023,"16,498","11,686",368,"20,735","4,701",69
06/08/2024,"17,690","11,279",375,"21,424","5,094",85
17/10/2023,"17,365","11,255",378,"20,596","5,139",105
06/12/2021,"10,902","6,586",194,"11,920","3,265",45
13/05/2024,"17,108","11,047",349,"19,420","5,442",61
04/01/2024,"8,856","7,678",175,"10,983",0,48
21/02/2021,"2,100","3,216",0,"4,417",0,18
03/05/2022,"14,452","8,861",271,"16,091","4,884",64
15/10/2020,"13,560","7,021",227,"13,692","5,380",66
01/08/2021,"1,862","2,799",0,"4,160",0,18
05/02/2022,"2,730","3,889",0,"5,175",0,26
22/08/2021,489,409,0,862,0,5
19/07/2020,"1,507","2,477",0,"3,673",0,10
01/10/2020,"9,632","6,301",197,"11,869",0,45
25/03/2023,"3,687","5,699",0,"7,796",0,11
26/06/2021,"3,170","4,718",0,"6,242",0,17
29/01/2023,"2,226","3,553",0,"5,147",0,21
29/07/2021,"15,846","9,420",270,"16,980","5,534",91
21/08/2021,722,503,0,"1,079",0,6
11/09/2023,"15,265","10,162",346,"18,713","4,823",74
18/04/2022,"1,839","3,064",0,"4,454",0,22
28/11/2022,"12,610","9,002",225,"15,471","2,669",53
05/09/2021,458,456,0,943,0,7
30/06/2023,"12,504","9,633",273,"16,163","2,096",52
25/05/2020,"6,901","3,495",101,"7,501","3,708",1
16/04/2023,"2,234","3,731",0,"5,454",0,18
22/03/2022,"14,014","8,326",254,"15,939","4,914",101
07/01/2023,"3,298","7,452",0,"6,637",0,45
06/10/2020,"8,397","5,496",187,"10,183",0,31
25/04/2021,"1,983","3,378",0,"4,258",0,14
08/02/2024,"19,037","11,559",351,"20,647","6,343",123
25/03/2020,"4,365","2,790",164,"6,563",144,0
22/05/2024,"17,471","11,645",373,"19,880","4,901",96
15/02/2022,"12,650","6,590",157,"12,662","5,542",63
20/05/2020,"6,085","2,890",85,"6,510","2,470",1
20/04/2021,"16,659","9,901",294,"18,151","6,238",100
23/01/2024,"12,497","9,542",356,"15,626",0,64
17/06/2024,"15,884","9,606",368,"17,510","4,938",46
19/08/2021,"1,959",768,21,"1,920",14,13
26/12/2022,"1,996","3,517",0,"5,276",0,10
29/08/2024,"17,267","11,047",306,"20,871","4,774",108
17/08/2021,"2,066",949,20,"2,139",29,14
27/11/2020,"13,588","9,101",183,"15,110","4,155",38
20/08/2023,"2,738","4,605",0,"6,663",0,54
20/08/2021,"2,015",741,9,"1,907",11,13
23/07/2024,"17,269","11,314",367,"20,063","4,988",80
07/08/2022,"2,049","3,796",0,"5,285",0,34
14/04/2021,"11,809","8,649",308,"15,495",0,46
21/03/2024,"18,838","12,491",334,"21,939","5,524",111
02/05/2021,"2,081","3,242",0,"4,977",0,34
25/08/2019,"3,955","4,411",0,"6,228",0,2
10/08/2024,"4,835","6,329",0,"8,639",0,17
02/02/2024,"16,882","10,194",310,"17,639","4,474",77
27/09/2022,"10,341","8,520",227,"14,447",0,60
08/06/2022,"13,434","8,663",254,"14,764","4,138",38
24/01/2020,"13,403","10,476",343,"19,749",0,0
31/05/2023,"15,635","10,279",405,"18,394","4,684",69
12/12/2019,"17,004","11,653",445,"22,538","3,083",0
08/06/2023,"14,391","9,346",296,"16,643","4,691",73
25/04/2023,"2,420","4,047",0,"5,898",0,14
05/11/2023,"2,559","4,430",0,"6,221",0,20
04/01/2021,"7,269","5,337",150,"9,105",0,38
12/02/2022,"2,922","5,166",0,"6,031",0,23
25/09/2019,"18,838","12,958",453,"25,717","5,360",0
04/01/2022,"5,744","3,581",54,"6,655",0,36
03/08/2022,"13,162","8,636",235,"14,960","4,443",67
17/01/2022,"6,047","3,723",82,"7,129",0,32
07/10/2019,"2,870","5,069",0,"6,956",0,2
08/10/2020,"8,654","5,669",212,"10,697",0,35
19/10/2020,"12,986","6,459",209,"12,772","5,319",40
31/08/2020,"11,736","5,810",177,"11,520","5,156",46
24/08/2019,"5,439","6,396",0,"8,283",0,0
26/03/2023,"2,624","4,212",0,"6,383",0,18
27/03/2023,"15,510","10,639",346,"18,806","5,409",71
14/05/2023,"2,212","4,302",0,"6,208",0,18
28/05/2023,"2,215","4,789",0,"5,996",0,16
09/06/2022,"13,407","8,337",226,"14,799","4,397",48
12/08/2024,"16,707","10,417",342,"19,550","5,096",68
23/05/2023,"15,907","10,702",395,"19,183","4,756",62
10/11/2023,"16,397","11,100","1,029","19,102","4,550",81
08/04/2024,"17,352","10,585",382,"19,422","5,555",90
24/04/2022,"2,094","5,283",0,"5,204",0,18
16/04/2020,"3,024","1,577",57,"3,682",0,3
23/04/2022,"2,932","4,614",0,"6,026",0,21
11/11/2019,"17,964","11,548",468,"24,134","5,602",3
06/10/2021,"2,821","1,217",22,"2,837",0,36
18/12/2023,"11,669","8,395",308,"14,960",0,60
01/03/2024,"18,752","11,660",309,"21,585","5,476",99
20/05/2021,"16,343","9,710",310,"17,375","4,823",94
20/12/2020,"2,041","3,529",0,"4,583",0,17
30/05/2024,"17,375","10,726",337,"19,327","5,100",75
14/06/2022,"12,488","8,421",233,"14,413","3,038",43
01/03/2022,"12,288","7,427",192,"13,710","2,193",43
11/08/2024,"2,744","4,452",0,"6,776",0,14
26/11/2023,"2,970","4,847",0,"7,236",0,19
09/12/2022,"13,394","10,098",188,"15,472","1,654",64
19/04/2020,759,"1,113",0,"1,356",0,0
27/04/2021,"16,970","9,766",330,"18,261","5,474",125
20/11/2023,"14,682","9,474",347,"16,823","4,627",43
21/09/2021,"2,229",959,22,"2,294",0,26
13/07/2019,"4,606","5,185",0,"6,327",0,2
08/07/2021,"10,843","8,201",270,"14,035",0,43
09/09/2023,"3,776","6,678",0,"8,247",0,20
15/11/2019,"18,462","12,418",370,"24,410","5,472",0
01/08/2023,"16,569","11,912",375,"21,015","4,888",82
25/03/2024,"17,817","11,318",364,"20,230","5,814",86
14/02/2023,"16,964","11,844",363,"20,612","5,803",80
04/10/2023,"11,306","9,133",332,"16,024",0,64
30/12/2020,"5,375","3,985",13,"6,117",0,32
22/04/2022,"9,307","7,546",160,"12,607",0,50
25/07/2019,"19,619","12,257",432,"25,284","5,845",0
11/10/2021,"2,778","1,205",29,"2,729",0,20
18/02/2020,"20,617","12,733",485,"27,552","6,853",0
04/11/2020,"13,690","6,768",249,"13,685","5,116",40
23/04/2020,"3,230","1,786",39,"3,819",0,1
24/10/2020,"2,428","3,154",0,"4,663",0,12
01/11/2021,"9,291","4,575",106,"8,821","4,650",64
28/04/2024,"2,772","4,672",0,"7,003",0,28
22/02/2024,"18,749","12,163",385,"21,933","5,793",94
02/09/2024,"15,543","9,467",337,"17,910","4,967",78
17/02/2024,"5,362","10,710",0,"11,523",0,26
19/06/2021,"3,205","4,629",0,"6,330",0,18
17/10/2019,"19,049","12,391",417,"25,990","5,640",0
14/01/2023,"3,478","5,057",0,"7,041",0,15
15/07/2023,"3,798","5,925",0,"8,036",0,17
03/05/2024,"17,605","11,511",271,"19,880","5,560",61
01/07/2022,"10,111","7,288",160,"12,247","1,399",45
22/12/2023,"10,210","8,151",103,"12,763",0,54
06/12/2019,"17,380","12,626",361,"23,119","4,200",0
01/12/2023,"14,811","10,733",253,"17,504","3,629",73
14/06/2023,"15,556","10,578",355,"18,604","4,687",90
03/06/2020,"9,018","4,463",128,"9,384","4,892",0
24/07/2022,"2,133","3,897",0,"5,351",0,13
10/05/2023,"16,416","11,133",397,"19,592","4,878",78
23/08/2023,"16,494","11,475",418,"20,848","4,581",87
17/08/2019,"5,506","6,583",0,"7,922",0,0
31/07/2021,"3,059","4,355",0,"6,004",0,28
21/11/2022,"12,993","8,862",264,"15,055","3,993",72
11/07/2022,"8,989","7,192",217,"12,152",0,46
25/01/2020,"3,481","5,494",0,"6,976",0,0
21/12/2022,"10,564","7,884",197,"13,303",0,68
06/02/2021,"2,767","4,138",0,"5,742",0,32
09/08/2022,"14,080","9,091",207,"16,697","4,651",65
08/05/2023,"15,421","10,329",364,"18,340","5,228",49
15/12/2022,"12,969","9,599",215,"16,001",695,59
14/09/2022,"14,148","9,183",252,"16,085","4,377",78
05/08/2024,"16,357","10,340",357,"18,935","4,791",64
06/07/2024,"4,594","5,572",0,"7,574",0,16
04/12/2021,"2,878","4,304",0,"5,796",0,18
21/06/2023,"14,311","10,246",359,"17,588","4,011",87
09/10/2019,"14,754","12,048",434,"23,526",0,0
31/03/2020,"3,064","1,708",64,"3,871",49,0
19/10/2021,"4,930","2,240",53,"4,649",0,21
07/05/2021,"16,324","9,909",264,"17,623","5,391",66
02/08/2019,"18,953","12,744",340,"25,010","5,738",0
01/08/2022,"12,972","8,081",230,"14,630","3,938",53
01/01/2020,"1,325","2,312",0,"2,586",0,1
24/05/2022,"14,029","9,022",242,"15,715","3,905",75
19/07/2019,"13,846","11,150",325,"20,012",0,0
25/01/2022,"6,884","4,342",105,"7,925",0,49
20/08/2020,"10,797","5,938",158,"11,319","1,939",55
24/03/2021,"16,871","9,638",336,"18,181","5,814",84
06/09/2024,"15,948","10,009",258,"18,097","4,621",71
01/09/2019,"3,761","4,682",0,"5,936",0,0
08/07/2020,"7,017","5,230",139,"9,859",0,3
31/05/2022,"12,985","7,786",261,"14,379","4,274",57
20/03/2020,"14,877","7,872",262,"17,962","5,398",0
24/09/2022,"3,197","5,557",0,"6,828",0,10
21/07/2024,"2,811","4,740",0,"7,136",0,19
30/06/2024,"2,479","3,985",0,"6,334",0,15
31/08/2023,"16,478","11,316",294,"20,284","4,801",86
02/10/2020,"9,099","6,465",153,"11,136",0,49
04/03/2021,"16,920","9,332",304,"17,909","5,813",76
30/03/2024,"3,889","6,348",0,"8,231",0,20
13/09/2020,"1,898","2,522",0,"3,907",0,14
05/12/2019,"17,696","11,515",409,"23,119","4,603",0
01/06/2022,"13,412","8,458",243,"14,828","4,518",78
12/06/2020,"9,550","5,044",100,"10,276","4,876",2
17/01/2021,"1,974","1,898",0,"4,229",0,15
08/04/2020,"2,968","1,516",65,"3,449",51,0
03/05/2023,"16,117","10,940",417,"19,717","5,204",82
03/07/2023,"10,990","9,004",323,"15,119",0,61
05/08/2019,"18,527","11,891",453,"24,856","5,978",0
17/02/2022,"13,057","6,728",149,"12,883","5,477",80
11/12/2023,"13,863","9,607",347,"16,725","1,032",50
22/11/2020,"1,902","3,027",0,"4,360",0,23
31/12/2021,"4,379","3,044",17,"5,077",0,12
23/12/2020,"8,512","6,393",152,"10,362",0,87
21/02/2023,"16,095","10,856",326,"20,261","4,967",69
20/04/2023,"12,443","10,295",328,"17,890",0,80
13/01/2022,"6,164","3,667",79,"6,893",0,30
22/02/2022,"13,219","6,963",171,"13,410","5,472",69
26/05/2024,"2,791","4,820",0,"6,383",0,23
15/09/2020,"12,547","6,439",200,"12,671","5,124",95
21/04/2022,"9,704","7,564",221,"13,175",0,49
30/03/2022,"13,667","8,693",261,"15,187","5,042",80
07/07/2021,"10,892","7,901",285,"13,678",0,52
29/08/2021,463,375,0,821,0,9
05/07/2023,"11,548","9,408",358,"15,663",0,53
13/03/2024,"19,027","12,400",389,"22,245","6,246",86
23/07/2021,"14,234","8,392",207,"14,986","5,025",56
08/01/2022,"2,193","4,014",0,"4,242",0,21
08/10/2021,"2,896","1,233",21,"2,944",0,17
04/07/2020,"1,981","3,575",0,"4,978",0,4
15/06/2020,"9,088","4,707",133,"9,814","4,998",1
28/04/2020,"3,568","1,925",63,"4,240",76,1
03/07/2022,"1,850","3,215",0,"4,811",0,22
07/12/2019,"3,798","7,491",0,"8,072",0,4
16/12/2019,"15,611","10,477",440,"21,149","1,104",0
19/05/2024,"2,739","4,731",0,"6,496",0,23
21/06/2022,"12,111","8,289",251,"14,338","4,000",52
14/02/2020,"20,092","12,935",341,"26,149","5,906",1
20/02/2020,"20,567","12,657",488,"27,379","6,106",1
21/05/2021,"16,352","10,086",247,"17,849","5,224",68
30/07/2022,"2,960","5,559",0,"6,751",0,15
12/05/2021,"16,877","9,874",338,"17,889","5,379",46
16/05/2021,"2,161","3,355",0,"4,701",0,26
20/06/2024,"15,700","9,888",304,"17,787","4,481",59
09/10/2023,"16,351","10,568",330,"19,222","4,494",71
28/04/2022,"14,221","8,741",252,"15,995","5,169",71
07/01/2021,"8,318","6,099",149,"10,430",0,38
23/11/2020,"12,169","6,935",234,"13,066","4,429",45
20/01/2021,"10,775","5,557",278,"13,546",0,46
30/11/2020,"12,851","7,583",247,"13,798","4,687",41
23/06/2023,"13,580","9,657",290,"15,701","3,794",70
05/05/2024,"2,565","4,262",0,"6,097",0,17
22/02/2023,"17,698","11,639",381,"21,325","5,154",100
14/07/2021,"14,900","8,802",273,"15,542","5,224",59
08/12/2019,"2,747","4,827",0,"6,353",0,0
25/12/2022,268,"1,026",0,555,0,0
30/01/2022,"1,852","2,574",0,"4,106",0,44
08/03/2023,"17,243","11,910",389,"21,503","5,175",94
04/09/2020,"12,462","6,712",135,"12,340","4,974",72
21/05/2024,"17,404","11,659",397,"19,945","5,219",99
14/08/2021,720,671,0,"1,207",0,13
29/05/2023,"2,369","3,698",0,"5,494",0,17
03/04/2023,"16,101","10,146",372,"18,204","4,956",68
03/06/2024,"15,979","9,854",335,"17,356","5,093",67
10/10/2020,"2,518","4,152",0,"5,776",0,19
29/04/2023,"3,499","5,626",0,"7,487",0,31
24/10/2021,"1,236","1,741",0,"2,807",0,16
07/04/2021,"11,733","8,605",292,"15,283",0,50
21/03/2021,"1,903","2,741",0,"4,100",3,30
15/03/2022,"14,148","8,159",250,"15,778","4,983",57
31/05/2024,"14,447","9,308",232,"16,335","4,022",63
20/07/2023,"15,696","10,831",340,"18,860","4,967",100
15/08/2019,"19,383","12,433",423,"26,122","5,532",0
27/10/2022,"14,997","9,650",255,"16,857","4,129",63
19/08/2019,"18,332","11,412",461,"24,242","5,646",0
18/02/2023,"4,453","12,927",0,"11,591",0,17
02/06/2024,"2,748","4,495",0,"6,210",0,31
27/07/2021,"15,886","9,178",315,"16,923","5,688",77
15/10/2021,"3,542","1,892",28,"3,579",0,29
13/02/2023,"16,429","10,544",342,"18,785","5,460",116
19/09/2024,"16,129","10,469",288,"19,650","4,557",93
06/03/2024,"19,295","12,777",414,"22,585","6,145",103
21/11/2020,"3,049","4,802",0,"6,306",0,21
16/11/2020,"12,808","6,968",228,"12,879","4,762",37
28/05/2024,"17,388","10,862",405,"19,336","5,180",76
23/03/2020,"10,418","4,666",256,"12,058","4,119",1
09/01/2020,"11,208","8,572",318,"16,730",0,0
25/04/2022,"1,675","3,039",0,"4,089",0,11
15/05/2022,"1,733","3,050",0,"4,560",0,26
30/07/2023,"2,694","5,370",0,"6,621",0,18
20/05/2022,"13,225","8,420",168,"15,030","3,992",60
14/04/2020,"2,985","1,637",47,"3,631",0,1
15/06/2024,"4,493","5,491",0,"8,024",0,26
14/11/2021,"1,462","2,109",0,"3,289",0,16
22/12/2019,"2,785","3,974",0,"5,481",0,0
12/10/2023,"16,645","10,955",318,"19,732","5,263",88
09/09/2021,"2,295",878,19,"2,177",0,26
13/12/2023,"14,323","10,425",337,"17,795",899,69
09/03/2023,"17,194","11,597",320,"21,456","5,199",123
27/12/2022,"2,355","3,301",0,"4,917",0,10
25/08/2020,"11,942","6,103",186,"11,884","5,176",46
17/05/2023,"16,175","11,031",404,"19,560","4,910",93
22/01/2022,"2,402","3,283",0,"4,831",0,37
16/09/2023,"4,245","7,021",0,"9,361",0,23
05/09/2019,"18,911","11,382",451,"24,641","5,685",0
