Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
18/03/2022,"13,920","8,671",191,"15,136","4,728",109
05/10/2022,"9,813","7,663",252,"13,674",0,45
02/08/2024,"16,929","10,875",256,"19,123","4,654",64
10/04/2020,379,506,0,850,0,0
20/04/2024,"5,039","6,200",0,"8,743",0,26
14/05/2024,"18,033","11,508",363,"20,873","5,229",72
24/02/2020,"20,110","12,211",516,"26,749","6,622",0
28/10/2020,"13,441","7,017",237,"13,669","5,350",46
20/10/2023,"16,409","11,289",276,"19,301","4,789",82
27/11/2022,"2,534","4,322",0,"6,253",0,21
24/11/2021,"10,571","5,992",175,"11,603","4,309",62
10/05/2022,"13,618","8,881",270,"15,462","4,768",97
13/02/2024,"18,918","11,369",370,"21,562","6,431",96
17/03/2024,"2,856","4,739",0,"6,702",0,17
16/11/2019,"4,063","6,734",0,"9,130",0,0
10/07/2020,"6,701","5,250",111,"9,377",0,3
01/01/2022,"1,028","1,653",0,"2,245",0,9
17/06/2023,"3,861","5,745",0,"7,858",0,64
26/09/2022,"10,515","8,757",211,"14,394",0,68
01/12/2022,"14,039","9,654",228,"16,573","3,421",51
28/02/2020,"20,266","14,527",416,"27,198","6,358",0
20/11/2022,"2,384","4,102",0,"5,694",0,34
03/08/2020,"11,297","5,464",148,"10,927","5,289",89
30/08/2019,"18,595","12,416",363,"24,492","5,150",1
07/05/2020,"3,741","2,126",58,"4,792",147,8
26/01/2023,"2,333","4,119",0,"5,938",0,13
18/08/2023,"15,409","10,825",260,"18,974","4,402",92
09/04/2024,"16,863","10,584",423,"19,544","5,557",85
18/08/2021,"2,079",800,22,"1,915",19,17
17/05/2020,"1,074","1,489",0,"2,243",0,0
16/03/2023,"17,731","11,437",266,"21,334","5,628",115
04/06/2023,"2,317","4,011",0,"5,786",0,13
17/04/2024,"13,922","11,068",406,"19,070",0,80
26/04/2024,"11,988","9,336",193,"15,869",0,78
09/01/2023,"9,863","7,632",226,"13,141",0,44
19/07/2022,"13,438","8,299",221,"14,648","4,620",58
27/04/2024,"4,922","6,073",0,"8,213",0,24
26/08/2021,"2,074",753,14,"1,909",0,22
07/02/2024,"18,667","11,522",406,"21,230","6,756",88
06/02/2022,"1,888","2,750",0,"4,112",0,14
01/09/2020,"12,001","6,149",187,"12,148","5,041",69
19/12/2022,"10,284","7,898",184,"13,242",0,48
11/02/2020,"20,335","12,064",529,"26,842","7,255",1
06/07/2022,"9,609","7,958",235,"12,697",0,52
19/05/2023,"15,563","10,628",287,"18,360","4,607",87
05/05/2023,"15,523","10,625",274,"18,453","4,759",81
07/08/2024,"17,505","11,695",349,"21,288","4,961",76
29/09/2024,1,0,0,3,0,
06/04/2023,"15,478","10,385",258,"18,318","4,393",78
21/06/2024,"14,986","9,623",263,"17,075","4,501",77
26/01/2022,"1,716","2,424",0,"3,957",0,22
22/09/2020,"12,729","6,408",228,"12,778","5,228",41
31/07/2019,"19,599","12,447",478,"25,342","5,736",0
09/11/2019,"3,905","6,565",0,"9,388",0,0
02/03/2023,"17,478","11,640",333,"20,972","5,190",159
19/03/2024,"19,306","12,747",423,"22,837","6,025",82
13/08/2020,"11,977","5,930",172,"11,904","5,184",58
15/06/2022,"13,225","8,683",228,"14,884","4,201",39
27/02/2023,"16,775","10,728",312,"19,631","5,672",71
12/04/2021,"11,021","8,155",277,"14,571",0,49
31/10/2023,"16,627","10,852",325,"19,294","5,172",56
29/04/2020,"2,831","1,555",59,"3,692",70,1
10/02/2020,"17,882","10,840",434,"23,380","6,021",0
06/08/2020,"11,774","5,871",176,"11,698","5,135",50
26/12/2023,"2,375","3,845",0,"5,868",0,13
12/05/2024,"2,494","4,437",0,"6,251",0,14
02/12/2020,"13,699","8,330",252,"14,685","4,238",46
03/08/2024,"4,804","6,173",0,"8,623",2,26
16/09/2021,"2,429",943,23,"2,390",0,33
27/11/2021,"2,728","3,949",0,"5,549",0,22
11/05/2020,"4,023","2,154",78,"4,980",800,2
29/04/2022,"13,989","9,034",198,"15,513","5,070",50
04/12/2020,"13,528","9,163",187,"14,770","3,830",65
15/11/2020,"2,055","3,196",0,"4,597",0,20
19/11/2021,"10,516","6,492",128,"10,990","4,013",48
11/02/2023,"3,940","6,141",0,"8,266",0,12
24/07/2023,"16,262","11,164",362,"19,238","4,795",93
02/10/2023,"2,511","4,697",0,"6,450",0,20
15/05/2024,"17,920","11,871",388,"20,313","5,164",62
17/10/2021,883,"1,321",0,"2,098",0,10
02/01/2020,"6,913","6,330",118,"9,780",0,0
29/04/2021,"17,194","9,979",315,"18,817","5,599",98
09/02/2023,"15,166","9,802",264,"17,773","5,120",123
06/01/2021,"8,049","5,878",179,"9,748",0,36
15/11/2023,"16,271","10,494",362,"19,149","4,833",65
05/02/2021,"15,710","9,112",237,"15,836","6,347",102
28/12/2023,"6,486","4,876",21,"7,742",0,43
08/01/2023,"2,299","4,248",0,"5,101",0,33
14/03/2022,"2,098","3,309",0,"5,210",0,26
30/04/2024,"18,231","11,851",383,"21,160","5,821",94
17/02/2020,"19,785","12,012",482,"25,998","6,668",0
13/11/2021,"2,225","3,257",0,"4,599",0,17
10/04/2021,"3,123","4,847",0,"6,049",0,33
26/12/2021,"1,263","2,186",0,"3,243",0,19
13/10/2019,"2,943","4,965",0,"7,552",0,0
01/12/2021,"11,388","6,868",203,"12,338","3,985",83
03/01/2020,"7,397","7,663",107,"10,164",0,0
25/08/2024,"2,387","4,467",0,"6,187",0,23
23/01/2023,"10,852","8,339",258,"14,102",0,64
22/07/2024,"12,878","10,073",322,"17,691",368,77
09/02/2022,"12,354","6,322",142,"11,858","5,729",78
19/08/2023,"4,021","6,110",0,"8,416",0,21
17/07/2020,"7,244","5,395",114,"9,896",0,10
29/10/2023,"2,704","4,952",0,"6,408",0,23
14/07/2024,"2,510","4,364",0,"6,116",0,34
15/03/2023,"17,500","11,811",383,"21,486","5,634",119
20/10/2019,"3,046","4,849",0,"7,014",0,6
02/01/2022,"1,510","1,951",0,"3,136",0,18
23/10/2023,"15,954","10,448",331,"18,810","5,266",65
06/01/2020,"8,773","6,938",236,"12,938",0,0
23/11/2021,"11,289","6,341",167,"11,741","4,457",51
30/03/2021,"16,440","9,534",335,"17,212","5,680",78
10/05/2020,977,"1,193",0,"1,999",0,0
03/12/2021,"11,420","7,405",161,"12,708","3,479",51
28/08/2019,"19,485","12,217",492,"26,363","5,358",0
23/08/2021,"1,905",745,17,"1,758",10,18
12/01/2022,"5,972","3,783",70,"6,911",0,29
08/04/2023,"3,311","5,053",0,"6,769",0,19
13/06/2022,"1,828","3,004",0,"4,246",0,13
21/05/2023,"2,441","4,214",0,"6,279",0,15
13/12/2022,"13,215","9,540",242,"16,023",882,66
14/01/2020,"12,361","9,864",398,"19,326",0,0
18/11/2023,"4,319","6,477",0,"8,941",0,31
27/06/2024,"15,434","9,897",315,"18,010","4,044",74
15/01/2023,"2,192","3,590",0,"5,281",0,19
11/12/2021,"2,880","4,493",0,"5,914",0,26
02/09/2021,"2,126",813,21,"2,127",0,17
29/10/2020,"13,382","6,840",223,"13,813","5,210",68
17/03/2020,"16,698","9,402",395,"22,215","5,750",0
28/01/2023,"3,455","4,915",0,"7,531",0,21
24/06/2020,"9,303","5,605",131,"10,776","4,733",5
23/02/2024,"17,296","11,619",307,"20,097","5,490",100
01/12/2020,"13,219","8,006",270,"13,883","4,467",54
25/07/2023,"16,479","11,744",311,"20,257","4,854",87
26/06/2024,"15,703","10,374",319,"18,275","4,166",82
07/03/2021,"2,365","3,802",0,"4,993",0,18
07/08/2019,"19,435","12,306",414,"26,179","5,776",0
15/01/2020,"12,711","9,628",364,"18,994",0,0
27/05/2022,"13,001","8,735",182,"14,701","2,498",123
12/08/2023,"4,025","6,142",0,"8,473",0,25
12/02/2023,"2,507","4,680",0,"6,310",0,22
29/06/2023,"13,625","9,479",298,"16,902","2,557",65
08/11/2019,"17,838","11,925",372,"24,095","5,345",0
18/01/2021,"10,092","5,056",276,"12,681",0,40
09/11/2023,"15,411","10,537",330,"18,351","4,814",78
28/12/2019,"2,874","4,172",0,"5,745",0,1
13/05/2022,"13,176","8,858",167,"15,019","4,461",71
24/04/2020,"3,340","1,821",41,"4,129",0,2
13/01/2021,"10,052","5,004",219,"12,502",0,46
26/04/2020,756,798,0,"1,416",0,0
21/03/2022,"13,377","7,956",208,"14,689","4,899",75
27/08/2020,"12,319","6,259",165,"11,917","4,962",55
05/07/2022,"9,438","7,927",213,"12,931",0,27
07/02/2021,"2,211","3,647",0,"4,879",0,28
07/08/2021,"3,098","4,506",0,"6,145",0,33
11/02/2022,"12,311","7,163",114,"12,151","5,266",64
15/03/2024,"18,107","12,032",298,"20,985","5,945",124
28/05/2020,"7,933","3,671",91,"8,221","3,882",1
10/10/2021,602,611,0,"1,228",0,8
04/09/2023,"15,376","10,187",332,"18,262","4,847",60
08/03/2022,"13,366","7,524",212,"14,318","5,319",89
08/09/2023,"14,429","10,162",240,"17,486","4,327",63
05/08/2022,"11,957","8,944",147,"14,679","1,355",58
12/03/2023,"2,607","5,029",0,"7,004",0,14
04/09/2022,"2,078","3,802",0,"5,329",0,21
27/01/2024,"4,095","6,110",0,"8,694",0,21
